movie_name,director,year,jump_count,is_netflix,imdb_rating
The Amityville Horror,Stuart Rosenberg,1979,8,No,6.2
The Amityville Horror,Andrew Douglas,2005,17,No,6
The Atticus Institute,Chris Sparling,2015,13,No,5.4
The Autopsy of Jane Doe,André Øvredal,2016,12,Yes,6.8
The Babadook,Jennifer Kent,2014,11,No,6.9
The Babadook – Original Australian Blu-Ray at 25fps,Jennifer Kent,2014,11,No,6.9
The Babysitter,McG,2017,8,Yes,6.6
The Bay,Barry Levinson,2012,8,No,5.6
The Belko Experiment,Greg McLean,2016,8,No,6.2
The Blackcoat’s Daughter,Osgood Perkins,2015,3,No,5.9
The Blair Witch Project,Daniel Myrick & Eduardo Sánchez,1999,0,No,6.4
The Borderlands (Final Prayer),Elliot Goldner,2013,12,No,5.7
The Boy,Craig Macneill,2015,1,No,5.4
The Boy,William Brent Bell,2016,11,Yes,6
The Burning,Tony Maylam,1981,21,No,6.5
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,No,7.7
The Bye Bye Man,Stacy Title,2017,13,No,4.3
The Cabin In The Woods,Drew Goddard,2012,13,No,7
The Call,Brad Anderson,2013,9,No,6.7
The Canal,Ivan Kavanagh,2014,4,No,5.9
The Changeling,Peter Medak,1980,7,No,7.3
The Cloverfield Paradox,Julius Onah,2018,8,Yes,5.5
The Collector,Marcus Dunstan,2009,2,No,6.4
The Conjuring,James Wan,2013,12,Yes,7.5
The Conjuring 2,James Wan,2016,22,No,7.4
The Conspiracy,Christopher MacBride,2012,1,No,6.4
The Conversation,Francis Ford Coppola,1974,1,No,7.9
The Craft,Andrew Fleming,1996,4,No,6.3
The Crazies,Breck Eisner,2010,18,No,6.6
The Cropsey Incident,Julian Grant,2017,0,No,3.4
The Crucifixion,Xavier Gens,2017,19,No,5
The Cured,David Freyne,2017,16,No,5.6
The Curse of La Llorona,Michael Chaves,2019,20,No,5.4
The Dead Don’t Die,Jim Jarmusch,2019,0,No,5.6
The Den,Zachary Donohue,2013,14,No,6.1
The Descent,Neil Marshall,2005,16,No,7.2
The Devil Inside,William Brent Bell,2012,8,No,4.1
The Devil’s Backbone,Guillermo del Toro,2001,4,No,7.5
The Devil’s Candy,Sean Byrne,2015,8,Yes,6.7
The Devil’s Rejects,Rob Zombie,2005,0,No,6.9
The Disappointments Room,D.J. Caruso,2016,9,Yes,3.9
The Endless,"Justin Benson, Aaron Moorhead",2017,7,No,6.6
The Evil Dead,Sam Raimi,1981,22,No,7.6
